violations,center_lat,center_lon,avg_vehicle_weight,avg_severity,avg_repeat,avg_criticality,compactness,density,density_norm,avg_vehicle_weight_norm,avg_severity_norm,avg_repeat_norm,avg_criticality_norm,PCRI
60,12.901579936666668,77.59388411833334,2.75,3.0833333333333335,4.033333333333333,1.2,0.0006163918939555527,97340.67009701223,0.011303256066740406,0.4439024390243902,0.10282674701855252,0.5357374695473534,0.5052871467639015,24.72605473274164
228,13.04583421885965,77.75027977368421,2.986842105263158,5.5394736842105265,1.25,1.2,0.0005956732865975419,382760.15582690533,0.05694884495572939,0.5039794608472401,0.339568290900076,0.04152633628886293,0.5052871467639015,24.546469549952114
52,12.883556637275948,77.75235374470373,3.7115384615384617,4.865384615384615,1.1346153846153846,1.2,0.0005181737389966196,100352.44182905076,0.011784912369765938,0.6878048780487805,0.27459444410402045,0.021038541727248866,0.5052871467639015,24.11631931312118
50,13.026547995333333,77.51974517266666,4.02,4.28,1.24,1.2,0.0016263315299451147,30744.03901010724,0.0006528183917833257,0.7660487804878047,0.2181706092196862,0.03975072742685637,0.5052871467639015,24.052560648284583
72,13.04655375138889,77.54879671111111,2.1805555555555554,7.597222222222222,1.2638888888888888,1.2,0.0016000491102098856,44998.61881774081,0.0029324759562296323,0.2994579945799457,0.5379097926936738,0.04399245970831647,0.5052871467639015,23.591896528123968
708,12.987428403248586,77.7343827009887,1.0861581920903955,7.747175141242938,1.6539548022598871,1.2,0.0012904799669973739,548633.0807965505,0.08347600136769107,0.0218547609204906,0.5523633989567794,0.11325290896313894,0.5052871467639015,23.57485027671774
148,13.003463336486487,77.72349642094595,1.2162162162162162,7.0,1.1081081081081081,1.2,0.00016660030395876916,888353.7213511181,0.13780567916177344,0.05484508899143048,0.4803449589581962,0.016331886219851044,0.5052871467639015,23.07705977945374
104,12.956346047371746,77.73150910055693,2.8461538461538463,5.788461538461538,1.1346153846153846,1.2,0.0013834689575690695,75173.35277456546,0.007758157347623082,0.46829268292682935,0.36356763971663697,0.021038541727248866,0.5052871467639015,22.462163872769242
7327,13.005030410350258,77.69358497922718,2.0155588917701652,3.7973249624675858,1.5584823256448752,1.2,0.006691598155182416,1094955.1706606122,0.17084632736746383,0.25760518230267604,0.17164670697701281,0.09630073140760609,0.5052871467639015,22.30045150451424
73,13.052790902255792,77.48624617279872,4.287671232876712,2.4383561643835616,1.2876712328767124,1.2,0.0019016556435034807,38387.60200848445,0.0018752119273150614,0.8339458737053123,0.04065892721502623,0.04821527378272325,0.5052871467639015,21.690535375535607
106,13.035396431132076,77.7352972009434,2.056603773584906,6.726415094339623,1.1037735849056605,1.2,0.0013811952043595007,76745.1260078442,0.008009522508097285,0.2680165669581225,0.45397475868621784,0.015562244438767137,0.5052871467639015,21.19281783391963
106,12.985459871698112,77.74565409339623,1.0849056603773586,7.528301886792453,1.5660377358490567,1.2,0.0004485850824486727,236298.539892103,0.033526033819058616,0.021537045559134882,0.5312667250006371,0.09764227673907006,0.5052871467639015,21.16574271961139
186,12.941029576307926,77.74736830626455,2.5268817204301075,5.56989247311828,1.1774193548387097,1.2,0.002315932965196326,80313.20543176105,0.008580146080243645,0.3873065827432468,0.3425002858271802,0.02863885261300894,0.5052871467639015,20.968799561154487
265,12.819330239245284,77.68847547132076,1.9320754716981132,6.415094339622642,1.1320754716981132,1.2,0.0019121098909257689,138590.36097119784,0.01790009519503597,0.236428900138058,0.4239672894112081,0.020587552538785664,0.5052871467639015,20.540403111661597
577,12.87054863488518,77.65487291531625,1.9358752166377817,2.665511265164645,3.4783362218370883,1.2,0.0019635920984952776,293849.2166688598,0.04272980112918869,0.23739273787885196,0.06255386869924176,0.43719169059127627,0.5052871467639015,20.444694042016888
73,13.010748728767123,77.50631878356164,3.767123287671233,2.6986301369863015,1.3013698630136987,1.2,0.0010409441871166009,70128.63984783743,0.0069513837956088,0.7019044437019712,0.06574611821538726,0.05064761468958154,0.5052871467639015,20.425808874485867
244,12.934975759016393,77.53651790614755,1.209016393442623,3.0081967213114753,3.2459016393442623,1.2,0.0003216353817769061,758623.0055039285,0.11705855004866517,0.05301879248300684,0.09558450716620495,0.3959204001401707,0.5052871467639015,20.322134485833566
92,12.96684435591457,77.65818366402009,2.097826086956522,5.195652173913044,1.6956521739130435,1.2,0.0006636581953286294,138625.5766109293,0.017905727041122213,0.27847295864263,0.30642815086759256,0.12065673122611148,0.5052871467639015,20.32151601328077
502,13.040191307503319,77.51766832523239,2.9641434262948207,3.850597609561753,1.2709163346613546,1.2,0.002354574945243818,213201.96284855038,0.029832323637439973,0.4982217471577106,0.17678153109861663,0.04524025920740252,0.5052871467639015,20.310999246217953
127,12.968046014632097,77.74961796036779,1.9606299212598426,6.3700787401574805,1.188976377952756,1.2,0.002131498669467466,59582.49086391862,0.005264795440749432,0.2436719800268869,0.419628342529639,0.03069092787898045,0.5052871467639015,20.271585511065542
319,13.121578205172412,77.63104274435737,2.376175548589342,4.915360501567398,1.2319749216300941,1.2,0.0013101194525212986,243489.2477827811,0.034676004695641714,0.3490786757397355,0.27941150125937964,0.03832578739966619,0.5052871467639015,20.192264338084602
373,12.908306001675577,77.54738570230663,2.520107238605898,5.18230563002681,1.126005361930295,1.2,0.00419702877155853,88872.39528298247,0.009948970847664707,0.3855881775975937,0.30514170915265515,0.01950973846907661,0.5052871467639015,20.106824105179943
2131,12.841833025933745,77.64606880967126,1.703425621773815,2.4941342092914125,1.8315344908493665,1.2,0.0017588599204572818,1211580.2828948235,0.1894975484414617,0.17842991381579698,0.04603524069054138,0.1447841158403233,0.5052871467639015,19.98063665556231
105,13.054274614285713,77.7629146247619,2.4952380952380953,5.133333333333334,1.1428571428571428,1.2,0.001364153321958954,76970.82014888011,0.008045616546841813,0.3792799070847851,0.3004213856082384,0.022501955624506992,0.5052871467639015,19.896059433402137
1173,13.047660290451834,77.57555422949702,1.6734867860187552,2.3537936913895994,3.0187553282182438,1.2,0.001883112817719572,622904.7930439396,0.09535387310674222,0.17083567255109888,0.03250815097624962,0.3555880998394251,0.5052871467639015,19.463212365577355
7987,12.905690535866754,77.63492660338845,2.4146738449981218,2.6104920495805684,2.0388130712407664,1.1981970702391387,0.015712445090071275,508323.1765784818,0.0770294572174653,0.3588440972678163,0.057250696982742405,0.181588684265034,0.500694359875363,19.45795206338933
108,12.938216772222223,77.5926268148148,2.324074074074074,2.935185185185185,2.490740740740741,1.2,0.0005006070962283493,215738.052484051,0.03023790668511331,0.33586269196025287,0.08854709833998439,0.26183336176004635,0.5052871467639015,19.374016708041665
142,12.962884598806205,77.73293970875498,1.7887323943661972,6.176056338028169,1.1126760563380282,1.2,0.0012780214993327282,111109.24196043656,0.013505189019072626,0.20006870491240125,0.40092698329693455,0.017142975155674367,0.5052871467639015,19.32870368408589
52,13.026376003846154,77.72058755961538,3.4038461538461537,2.9038461538461537,1.0769230769230769,1.2,0.00036336004357043455,143108.74549947647,0.018622695903578186,0.6097560975609756,0.08552640342721038,0.01079464444644182,0.5052871467639015,19.24989075673923
